symptom_text,severity,disease,total_weight
"Dalili ninazopata ni ngozi kuwa ya njano, kichefuchefu, kukosa hamu ya kula, macho kuwa ya njano, historia ya ugonjwa katika familia, uchovu.",HIGH,Hepatitis C,25
"Nina dalili hizi: upele wa ngozi, homa kali, malengelenge, kidonda chekundu karibu na pua, ukoko wa njano wenye ute.",MEDIUM,Impetigo,19
"Ninapata dalili zifuatazo: ukoko wa njano wenye ute, kidonda chekundu karibu na pua, malengelenge, homa kali, upele wa ngozi.",MEDIUM,Impetigo,19
"Dalili ninazopata ni homa kali, malengelenge, kidonda chekundu karibu na pua, ukoko wa njano wenye ute, upele wa ngozi.",MEDIUM,Impetigo,19
"Nina dalili hizi: kutapika, kutokula vizuri au kutosaga chakula, kukosa hamu ya kula, maumivu ya tumbo, kupitisha gesi, kuwashwa ndani ya mwili.",HIGH,Peptic ulcer diseae,27
"Ninapata dalili zifuatazo: kuwashwa ndani ya mwili, kupitisha gesi, maumivu ya tumbo, kukosa hamu ya kula, kutokula vizuri au kutosaga chakula, kutapika.",HIGH,Peptic ulcer diseae,27
"Dalili ninazopata ni kutokula vizuri au kutosaga chakula, kukosa hamu ya kula, maumivu ya tumbo, kupitisha gesi, kuwashwa ndani ya mwili, kutapika.",HIGH,Peptic ulcer diseae,27
"Nina dalili hizi: maumivu ya viungo, uchovu, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano, ini kushindwa kufanya kazi ghafla, kupoteza fahamu, kutokwa damu tumboni.",CRITICAL,Hepatitis E,57
"Ninapata dalili zifuatazo: kutokwa damu tumboni, kupoteza fahamu, ini kushindwa kufanya kazi ghafla, macho kuwa ya njano, maumivu ya tumbo, kukosa hamu ya kula, kichefuchefu, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, homa kali, uchovu, maumivu ya viungo.",CRITICAL,Hepatitis E,57
"Dalili ninazopata ni uchovu, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, macho kuwa ya njano, ini kushindwa kufanya kazi ghafla, kupoteza fahamu, kutokwa damu tumboni, maumivu ya viungo.",CRITICAL,Hepatitis E,57
"Nina dalili hizi: uchovu, homa kali, kupumua kwa shida, historia ya ugonjwa katika familia, makohozi mazito.",MEDIUM,Bronchial Asthma,24
"Ninapata dalili zifuatazo: makohozi mazito, historia ya ugonjwa katika familia, kupumua kwa shida, homa kali, uchovu.",MEDIUM,Bronchial Asthma,24
"Dalili ninazopata ni homa kali, kupumua kwa shida, historia ya ugonjwa katika familia, makohozi mazito, uchovu.",MEDIUM,Bronchial Asthma,24
"Nina dalili hizi: uchovu, mabadiliko ya hisia, kutotulia, kutokwa na jasho, kuharisha, mapigo ya moyo kwenda haraka, njaa kupita kiasi, udhaifu wa misuli, kukereka kwa urahisi, hedhi isiyo ya kawaida.",CRITICAL,Hyperthyroidism,40
"Ninapata dalili zifuatazo: hedhi isiyo ya kawaida, kukereka kwa urahisi, udhaifu wa misuli, njaa kupita kiasi, mapigo ya moyo kwenda haraka, kuharisha, kutokwa na jasho, kutotulia, mabadiliko ya hisia, uchovu.",CRITICAL,Hyperthyroidism,40
"Dalili ninazopata ni mabadiliko ya hisia, kutotulia, kutokwa na jasho, kuharisha, mapigo ya moyo kwenda haraka, njaa kupita kiasi, udhaifu wa misuli, kukereka kwa urahisi, hedhi isiyo ya kawaida, uchovu.",CRITICAL,Hyperthyroidism,40
"Nina dalili hizi: baridi na kutetemeka, kutapika, kutokwa na jasho, maumivu ya kichwa, kichefuchefu, kuharisha, maumivu ya misuli.",HIGH,Malaria,27
"Ninapata dalili zifuatazo: maumivu ya misuli, kuharisha, kichefuchefu, maumivu ya kichwa, kutokwa na jasho, kutapika, baridi na kutetemeka.",HIGH,Malaria,27
"Dalili ninazopata ni kutapika, kutokwa na jasho, maumivu ya kichwa, kichefuchefu, kuharisha, maumivu ya misuli, baridi na kutetemeka.",HIGH,Malaria,27
"Nina dalili hizi: kuungua wakati wa kukojoa, harufu mbaya, mkojo, kuhisi haja ya kukojoa kila mara.",LOW,Urinary tract infection,12
"Ninapata dalili zifuatazo: kuhisi haja ya kukojoa kila mara, mkojo, harufu mbaya, kuungua wakati wa kukojoa.",LOW,Urinary tract infection,12
"Dalili ninazopata ni harufu mbaya, mkojo, kuhisi haja ya kukojoa kila mara, kuungua wakati wa kukojoa.",LOW,Urinary tract infection,12
"Nina dalili hizi: asidi tumboni, kutokula vizuri au kutosaga chakula, maumivu ya kichwa, kuona kwa ukungu na kupotoshwa, njaa kupita kiasi, shingo kuwa ngumu, huzuni, kukereka kwa urahisi, matatizo ya kuona.",HIGH,Migraine,32
"Ninapata dalili zifuatazo: matatizo ya kuona, kukereka kwa urahisi, huzuni, shingo kuwa ngumu, njaa kupita kiasi, kuona kwa ukungu na kupotoshwa, maumivu ya kichwa, kutokula vizuri au kutosaga chakula, asidi tumboni.",HIGH,Migraine,32
"Dalili ninazopata ni kutokula vizuri au kutosaga chakula, maumivu ya kichwa, kuona kwa ukungu na kupotoshwa, njaa kupita kiasi, shingo kuwa ngumu, huzuni, kukereka kwa urahisi, matatizo ya kuona, asidi tumboni.",HIGH,Migraine,32
"Nina dalili hizi: misuli kupungua, mabaka kwenye koo, homa kali, mahusiano ya nje ya ndoa.",MEDIUM,AIDS,21
"Ninapata dalili zifuatazo: mahusiano ya nje ya ndoa, homa kali, mabaka kwenye koo, misuli kupungua.",MEDIUM,AIDS,21
"Dalili ninazopata ni mabaka kwenye koo, homa kali, mahusiano ya nje ya ndoa, misuli kupungua.",MEDIUM,AIDS,21
"Nina dalili hizi: upele wa ngozi, maumivu ya viungo, ngozi kuchubuka, mashimo madogo kwenye kucha, kucha zilizo na uvimbe au uchochezi.",MEDIUM,Psoriasis,13
"Ninapata dalili zifuatazo: kucha zilizo na uvimbe au uchochezi, mashimo madogo kwenye kucha, ngozi kuchubuka, maumivu ya viungo, upele wa ngozi.",MEDIUM,Psoriasis,13
"Dalili ninazopata ni maumivu ya viungo, ngozi kuchubuka, mashimo madogo kwenye kucha, kucha zilizo na uvimbe au uchochezi, upele wa ngozi.",MEDIUM,Psoriasis,13
"Nina dalili hizi: kutetemeka, baridi na kutetemeka, macho kutoa machozi.",LOW,Allergy,12
"Ninapata dalili zifuatazo: macho kutoa machozi, baridi na kutetemeka, kutetemeka.",LOW,Allergy,12
"Dalili ninazopata ni baridi na kutetemeka, macho kutoa machozi, kutetemeka.",LOW,Allergy,12
"Nina dalili hizi: misuli kupungua, mabaka kwenye koo, homa kali, mahusiano ya nje ya ndoa.",MEDIUM,AIDS,21
"Ninapata dalili zifuatazo: mahusiano ya nje ya ndoa, homa kali, mabaka kwenye koo, misuli kupungua.",MEDIUM,AIDS,21
"Dalili ninazopata ni mabaka kwenye koo, homa kali, mahusiano ya nje ya ndoa, misuli kupungua.",MEDIUM,AIDS,21
"Nina dalili hizi: kuwashwa, upele wa ngozi, maumivu ya tumbo, kuungua wakati wa kukojoa.",MEDIUM,Drug Reaction,15
"Ninapata dalili zifuatazo: kuungua wakati wa kukojoa, maumivu ya tumbo, upele wa ngozi, kuwashwa.",MEDIUM,Drug Reaction,15
"Dalili ninazopata ni upele wa ngozi, maumivu ya tumbo, kuungua wakati wa kukojoa, kuwashwa.",MEDIUM,Drug Reaction,15
"Nina dalili hizi: kupiga chafya mfululizo, baridi na kutetemeka, uchovu, kikohozi, homa kali, maumivu ya kichwa, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, makohozi, muwasho wa koo, macho kuwa mekundu, shinikizo kwenye sinus, pua kutiririka, msongamano wa pua, maumivu ya kifua, kupoteza uwezo wa kunusa, maumivu ya misuli.",CRITICAL,Common Cold,77
"Ninapata dalili zifuatazo: maumivu ya misuli, kupoteza uwezo wa kunusa, maumivu ya kifua, msongamano wa pua, pua kutiririka, shinikizo kwenye sinus, macho kuwa mekundu, muwasho wa koo, makohozi, kujiskia vibaya kwa ujumla, tezi za limfu kuvimba, maumivu ya kichwa, homa kali, kikohozi, uchovu, baridi na kutetemeka, kupiga chafya mfululizo.",CRITICAL,Common Cold,77
"Dalili ninazopata ni baridi na kutetemeka, uchovu, kikohozi, homa kali, maumivu ya kichwa, tezi za limfu kuvimba, kujiskia vibaya kwa ujumla, makohozi, muwasho wa koo, macho kuwa mekundu, shinikizo kwenye sinus, pua kutiririka, msongamano wa pua, maumivu ya kifua, kupoteza uwezo wa kunusa, maumivu ya misuli, kupiga chafya mfululizo.",CRITICAL,Common Cold,77
"Nina dalili hizi: uchovu, kupungua uzito, kutotulia, uchovu na hali ya kutokuwa na nguvu, kiwango cha sukari kisicho cha kawaida, kuona kwa ukungu na kupotoshwa, unene kupita kiasi, njaa kupita kiasi, hamu ya kula kuongezeka, kukojoa mara nyingi.",CRITICAL,Diabetes,41
"Ninapata dalili zifuatazo: kukojoa mara nyingi, hamu ya kula kuongezeka, njaa kupita kiasi, unene kupita kiasi, kuona kwa ukungu na kupotoshwa, kiwango cha sukari kisicho cha kawaida, uchovu na hali ya kutokuwa na nguvu, kutotulia, kupungua uzito, uchovu.",CRITICAL,Diabetes,41
"Dalili ninazopata ni kupungua uzito, kutotulia, uchovu na hali ya kutokuwa na nguvu, kiwango cha sukari kisicho cha kawaida, kuona kwa ukungu na kupotoshwa, unene kupita kiasi, njaa kupita kiasi, hamu ya kula kuongezeka, kukojoa mara nyingi, uchovu.",CRITICAL,Diabetes,41
"Nina dalili hizi: kutapika, maumivu ya kichwa, kichefuchefu, kuhisi vitu vinazunguka, kupoteza usawa, kutokuwa na uthabiti.",HIGH,(vertigo) Paroymsal  Positional Vertigo,27
"Ninapata dalili zifuatazo: kutokuwa na uthabiti, kupoteza usawa, kuhisi vitu vinazunguka, kichefuchefu, maumivu ya kichwa, kutapika.",HIGH,(vertigo) Paroymsal  Positional Vertigo,27
"Dalili ninazopata ni maumivu ya kichwa, kichefuchefu, kuhisi vitu vinazunguka, kupoteza usawa, kutokuwa na uthabiti, kutapika.",HIGH,(vertigo) Paroymsal  Positional Vertigo,27
"Nina dalili hizi: maumivu ya viungo, kutapika, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, kuharisha, homa kidogo, macho kuwa ya njano, maumivu ya misuli.",CRITICAL,hepatitis A,45
"Ninapata dalili zifuatazo: maumivu ya misuli, macho kuwa ya njano, homa kidogo, kuharisha, maumivu ya tumbo, kukosa hamu ya kula, kichefuchefu, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, kutapika, maumivu ya viungo.",CRITICAL,hepatitis A,45
"Dalili ninazopata ni kutapika, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, kuharisha, homa kidogo, macho kuwa ya njano, maumivu ya misuli, maumivu ya viungo.",CRITICAL,hepatitis A,45
"Nina dalili hizi: uchovu, kuongezeka uzito, mikono na miguu kuwa baridi, mabadiliko ya hisia, uchovu na hali ya kutokuwa na nguvu, kizunguzungu, uso na macho kuvimba, tezi ya shingo kuongezeka, kucha zinazovunjika kwa urahisi, mwisho wa mikono au miguu kuvimba, huzuni, kukereka kwa urahisi, hedhi isiyo ya kawaida.",CRITICAL,Hypothyroidism,53
"Ninapata dalili zifuatazo: hedhi isiyo ya kawaida, kukereka kwa urahisi, huzuni, mwisho wa mikono au miguu kuvimba, kucha zinazovunjika kwa urahisi, tezi ya shingo kuongezeka, uso na macho kuvimba, kizunguzungu, uchovu na hali ya kutokuwa na nguvu, mabadiliko ya hisia, mikono na miguu kuwa baridi, kuongezeka uzito, uchovu.",CRITICAL,Hypothyroidism,53
"Dalili ninazopata ni kuongezeka uzito, mikono na miguu kuwa baridi, mabadiliko ya hisia, uchovu na hali ya kutokuwa na nguvu, kizunguzungu, uso na macho kuvimba, tezi ya shingo kuongezeka, kucha zinazovunjika kwa urahisi, mwisho wa mikono au miguu kuvimba, huzuni, kukereka kwa urahisi, hedhi isiyo ya kawaida, uchovu.",CRITICAL,Hypothyroidism,53
"Nina dalili hizi: upele wa ngozi, mapele kwenye ngozi, mabadiliko ya rangi ya ngozi, mabaka.",LOW,Fungal infection,7
"Ninapata dalili zifuatazo: mabaka, mabadiliko ya rangi ya ngozi, mapele kwenye ngozi, upele wa ngozi.",LOW,Fungal infection,7
"Dalili ninazopata ni mapele kwenye ngozi, mabadiliko ya rangi ya ngozi, mabaka, upele wa ngozi.",LOW,Fungal infection,7
"Nina dalili hizi: baridi na kutetemeka, kutapika, uchovu, homa kali, maumivu ya kichwa, kichefuchefu, choo kigumu au kufunga choo, maumivu ya tumbo, kuharisha, mwonekano wa mwili kuwa mgonjwa sana, maumivu ya tumbo.",CRITICAL,Typhoid,50
"Ninapata dalili zifuatazo: maumivu ya tumbo, mwonekano wa mwili kuwa mgonjwa sana, kuharisha, maumivu ya tumbo, choo kigumu au kufunga choo, kichefuchefu, maumivu ya kichwa, homa kali, uchovu, kutapika, baridi na kutetemeka.",CRITICAL,Typhoid,50
"Dalili ninazopata ni kutapika, uchovu, homa kali, maumivu ya kichwa, kichefuchefu, choo kigumu au kufunga choo, maumivu ya tumbo, kuharisha, mwonekano wa mwili kuwa mgonjwa sana, maumivu ya tumbo, baridi na kutetemeka.",CRITICAL,Typhoid,50
"Nina dalili hizi: maumivu ya tumbo, asidi tumboni, vidonda kwenye ulimi, kutapika, kikohozi, maumivu ya kifua.",HIGH,GERD,28
"Ninapata dalili zifuatazo: maumivu ya kifua, kikohozi, kutapika, vidonda kwenye ulimi, asidi tumboni, maumivu ya tumbo.",HIGH,GERD,28
"Dalili ninazopata ni asidi tumboni, vidonda kwenye ulimi, kutapika, kikohozi, maumivu ya kifua, maumivu ya tumbo.",HIGH,GERD,28
"Nina dalili hizi: kutapika, upungufu wa maji mwilini, kuharisha.",MEDIUM,Gastroenteritis,15
"Ninapata dalili zifuatazo: kuharisha, upungufu wa maji mwilini, kutapika.",MEDIUM,Gastroenteritis,15
"Dalili ninazopata ni upungufu wa maji mwilini, kuharisha, kutapika.",MEDIUM,Gastroenteritis,15
"Nina dalili hizi: kutapika, macho kuzama, upungufu wa maji mwilini.",LOW,Gastroenteritis,12
"Ninapata dalili zifuatazo: upungufu wa maji mwilini, macho kuzama, kutapika.",LOW,Gastroenteritis,12
"Dalili ninazopata ni macho kuzama, upungufu wa maji mwilini, kutapika.",LOW,Gastroenteritis,12
"Nina dalili hizi: upele wa ngozi, maumivu ya viungo, mabaka yenye unga kama fedha, mashimo madogo kwenye kucha, kucha zilizo na uvimbe au uchochezi.",LOW,Psoriasis,12
"Ninapata dalili zifuatazo: kucha zilizo na uvimbe au uchochezi, mashimo madogo kwenye kucha, mabaka yenye unga kama fedha, maumivu ya viungo, upele wa ngozi.",LOW,Psoriasis,12
"Dalili ninazopata ni maumivu ya viungo, mabaka yenye unga kama fedha, mashimo madogo kwenye kucha, kucha zilizo na uvimbe au uchochezi, upele wa ngozi.",LOW,Psoriasis,12
"Nina dalili hizi: maumivu ya viungo, maumivu ya shingo, maumivu ya goti, maumivu ya kiungo cha nyonga, viungo kuvimba, kutembea kwa maumivu.",MEDIUM,Osteoarthristis,20
"Ninapata dalili zifuatazo: kutembea kwa maumivu, viungo kuvimba, maumivu ya kiungo cha nyonga, maumivu ya goti, maumivu ya shingo, maumivu ya viungo.",MEDIUM,Osteoarthristis,20
"Dalili ninazopata ni maumivu ya shingo, maumivu ya goti, maumivu ya kiungo cha nyonga, viungo kuvimba, kutembea kwa maumivu, maumivu ya viungo.",MEDIUM,Osteoarthristis,20
"Nina dalili hizi: baridi na kutetemeka, uchovu, kikohozi, homa kali, kupumua kwa shida, kutokwa na jasho, kujiskia vibaya kwa ujumla, makohozi, maumivu ya kifua, mapigo ya moyo kwenda haraka, makohozi yenye rangi ya kutu.",CRITICAL,Pneumonia,52
"Ninapata dalili zifuatazo: makohozi yenye rangi ya kutu, mapigo ya moyo kwenda haraka, maumivu ya kifua, makohozi, kujiskia vibaya kwa ujumla, kutokwa na jasho, kupumua kwa shida, homa kali, kikohozi, uchovu, baridi na kutetemeka.",CRITICAL,Pneumonia,52
"Dalili ninazopata ni uchovu, kikohozi, homa kali, kupumua kwa shida, kutokwa na jasho, kujiskia vibaya kwa ujumla, makohozi, maumivu ya kifua, mapigo ya moyo kwenda haraka, makohozi yenye rangi ya kutu, baridi na kutetemeka.",CRITICAL,Pneumonia,52
"Nina dalili hizi: uchovu, mabadiliko ya hisia, kupungua uzito, kutotulia, kutokwa na jasho, kuharisha, mapigo ya moyo kwenda haraka, njaa kupita kiasi, udhaifu wa misuli, kukereka kwa urahisi, hedhi isiyo ya kawaida.",CRITICAL,Hyperthyroidism,43
"Ninapata dalili zifuatazo: hedhi isiyo ya kawaida, kukereka kwa urahisi, udhaifu wa misuli, njaa kupita kiasi, mapigo ya moyo kwenda haraka, kuharisha, kutokwa na jasho, kutotulia, kupungua uzito, mabadiliko ya hisia, uchovu.",CRITICAL,Hyperthyroidism,43
"Dalili ninazopata ni mabadiliko ya hisia, kupungua uzito, kutotulia, kutokwa na jasho, kuharisha, mapigo ya moyo kwenda haraka, njaa kupita kiasi, udhaifu wa misuli, kukereka kwa urahisi, hedhi isiyo ya kawaida, uchovu.",CRITICAL,Hyperthyroidism,43
"Nina dalili hizi: maumivu ya viungo, kutapika, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, kuharisha, homa kidogo, macho kuwa ya njano, maumivu ya misuli.",CRITICAL,hepatitis A,45
"Ninapata dalili zifuatazo: maumivu ya misuli, macho kuwa ya njano, homa kidogo, kuharisha, maumivu ya tumbo, kukosa hamu ya kula, kichefuchefu, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, kutapika, maumivu ya viungo.",CRITICAL,hepatitis A,45
"Dalili ninazopata ni kutapika, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kichefuchefu, kukosa hamu ya kula, maumivu ya tumbo, kuharisha, homa kidogo, macho kuwa ya njano, maumivu ya misuli, maumivu ya viungo.",CRITICAL,hepatitis A,45
"Nina dalili hizi: maumivu ya shingo, maumivu ya goti, maumivu ya kiungo cha nyonga, viungo kuvimba, kutembea kwa maumivu.",MEDIUM,Osteoarthristis,17
"Ninapata dalili zifuatazo: kutembea kwa maumivu, viungo kuvimba, maumivu ya kiungo cha nyonga, maumivu ya goti, maumivu ya shingo.",MEDIUM,Osteoarthristis,17
"Dalili ninazopata ni maumivu ya goti, maumivu ya kiungo cha nyonga, viungo kuvimba, kutembea kwa maumivu, maumivu ya shingo.",MEDIUM,Osteoarthristis,17
"Nina dalili hizi: kuwashwa, kutapika, ngozi kuwa ya njano, kichefuchefu, maumivu ya tumbo, macho kuwa ya njano.",MEDIUM,Chronic cholestasis,22
"Ninapata dalili zifuatazo: macho kuwa ya njano, maumivu ya tumbo, kichefuchefu, ngozi kuwa ya njano, kutapika, kuwashwa.",MEDIUM,Chronic cholestasis,22
"Dalili ninazopata ni kutapika, ngozi kuwa ya njano, kichefuchefu, maumivu ya tumbo, macho kuwa ya njano, kuwashwa.",MEDIUM,Chronic cholestasis,22
"Nina dalili hizi: kutapika, kupumua kwa shida, kutokwa na jasho.",LOW,Heart attack,12
"Ninapata dalili zifuatazo: kutokwa na jasho, kupumua kwa shida, kutapika.",LOW,Heart attack,12
"Dalili ninazopata ni kupumua kwa shida, kutokwa na jasho, kutapika.",LOW,Heart attack,12
"Nina dalili hizi: kupumua kwa shida, kutokwa na jasho, maumivu ya kifua.",MEDIUM,Heart attack,14
"Ninapata dalili zifuatazo: maumivu ya kifua, kutokwa na jasho, kupumua kwa shida.",MEDIUM,Heart attack,14
"Dalili ninazopata ni kutokwa na jasho, maumivu ya kifua, kupumua kwa shida.",MEDIUM,Heart attack,14
"Nina dalili hizi: kuwashwa, kutapika, uchovu, kupungua uzito, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, maumivu ya tumbo.",HIGH,Jaundice,31
"Ninapata dalili zifuatazo: maumivu ya tumbo, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, homa kali, kupungua uzito, uchovu, kutapika, kuwashwa.",HIGH,Jaundice,31
"Dalili ninazopata ni kutapika, uchovu, kupungua uzito, homa kali, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, maumivu ya tumbo, kuwashwa.",HIGH,Jaundice,31
"Nina dalili hizi: upele wa ngozi, baridi na kutetemeka, maumivu ya viungo, kutapika, uchovu, homa kali, maumivu ya kichwa, kichefuchefu, kukosa hamu ya kula, maumivu nyuma ya macho, maumivu ya mgongo, kujiskia vibaya kwa ujumla, maumivu ya misuli, madoa mekundu mwilini.",CRITICAL,Dengue,55
"Ninapata dalili zifuatazo: madoa mekundu mwilini, maumivu ya misuli, kujiskia vibaya kwa ujumla, maumivu ya mgongo, maumivu nyuma ya macho, kukosa hamu ya kula, kichefuchefu, maumivu ya kichwa, homa kali, uchovu, kutapika, maumivu ya viungo, baridi na kutetemeka, upele wa ngozi.",CRITICAL,Dengue,55
"Dalili ninazopata ni baridi na kutetemeka, maumivu ya viungo, kutapika, uchovu, homa kali, maumivu ya kichwa, kichefuchefu, kukosa hamu ya kula, maumivu nyuma ya macho, maumivu ya mgongo, kujiskia vibaya kwa ujumla, maumivu ya misuli, madoa mekundu mwilini, upele wa ngozi.",CRITICAL,Dengue,55
"Nina dalili hizi: kutapika, uchovu, wasiwasi, kutokwa na jasho, maumivu ya kichwa, kichefuchefu, kuona kwa ukungu na kupotoshwa, njaa kupita kiasi, midomo kukauka na kuwasha, maneno kutamka kwa shida, kukereka kwa urahisi, mapigo ya moyo kwenda kwa kasi au kudunda.",CRITICAL,Hypoglycemia,47
"Ninapata dalili zifuatazo: mapigo ya moyo kwenda kwa kasi au kudunda, kukereka kwa urahisi, maneno kutamka kwa shida, midomo kukauka na kuwasha, njaa kupita kiasi, kuona kwa ukungu na kupotoshwa, kichefuchefu, maumivu ya kichwa, kutokwa na jasho, wasiwasi, uchovu, kutapika.",CRITICAL,Hypoglycemia,47
"Dalili ninazopata ni uchovu, wasiwasi, kutokwa na jasho, maumivu ya kichwa, kichefuchefu, kuona kwa ukungu na kupotoshwa, njaa kupita kiasi, midomo kukauka na kuwasha, maneno kutamka kwa shida, kukereka kwa urahisi, mapigo ya moyo kwenda kwa kasi au kudunda, kutapika.",CRITICAL,Hypoglycemia,47
"Nina dalili hizi: kuwashwa, uchovu, uchovu na hali ya kutokuwa na nguvu, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kukosa hamu ya kula, maumivu ya tumbo, mkojo wa njano, macho kuwa ya njano, kujiskia vibaya kwa ujumla, kupokea kuongezewa damu, kupokea sindano zisizo salama.",CRITICAL,Hepatitis B,43
"Ninapata dalili zifuatazo: kupokea sindano zisizo salama, kupokea kuongezewa damu, kujiskia vibaya kwa ujumla, macho kuwa ya njano, mkojo wa njano, maumivu ya tumbo, kukosa hamu ya kula, mkojo wenye rangi nyeusi, ngozi kuwa ya njano, uchovu na hali ya kutokuwa na nguvu, uchovu, kuwashwa.",CRITICAL,Hepatitis B,43
"Dalili ninazopata ni uchovu, uchovu na hali ya kutokuwa na nguvu, ngozi kuwa ya njano, mkojo wenye rangi nyeusi, kukosa hamu ya kula, maumivu ya tumbo, mkojo wa njano, macho kuwa ya njano, kujiskia vibaya kwa ujumla, kupokea kuongezewa damu, kupokea sindano zisizo salama, kuwashwa.",CRITICAL,Hepatitis B,43
